name,type,department_id,max_capacity,efficiency_rating,hourly_rate,setup_time_minutes,teardown_time_minutes,is_active
MACHINE SHOP,MACHINING,,2,0.95,100,15,10,true
FHCR FOYER,ASSEMBLY,,2,0.90,80,20,15,true
FHCR WORKSPACE,ASSEMBLY,,4,0.95,85,15,10,true
FHCR LFS 1,QUALITY,,3,0.98,70,10,5,true
FHCR LFS 2,QUALITY,,3,0.98,70,10,5,true
FHCR TEST 1,QUALITY,,3,0.95,75,15,10,true
FHCR TEST 2,QUALITY,,3,0.95,75,15,10,true
FHCR CONE,ASSEMBLY,,3,0.92,90,20,15,true
FH EGRESS,ASSEMBLY,,2,0.90,80,15,10,true
OB GCR,MACHINING,,2,0.95,95,15,10,true
OB OPTO 1,QUALITY,,2,0.98,85,10,5,true
OB OPTO 2,QUALITY,,2,0.98,85,10,5,true
OB CCR,ASSEMBLY,,4,0.93,90,20,15,true
OB WORKSPACE,ASSEMBLY,,4,0.95,85,15,10,true
OB CLEAN,QUALITY,,2,0.99,70,5,5,true
OB CART,ASSEMBLY,,3,0.90,80,15,10,true
OB BAT,QUALITY,,3,0.95,75,10,5,true
OB LEAK,QUALITY,,2,0.98,80,10,5,true
