date,name,calendar_id,is_recurring
2025-01-01,New Year's Day,,true
2025-01-20,Martin Luther King Jr. Day,,true
2025-02-17,Presidents' Day (Washington's),,true
2025-04-21,Patriots' Day (MA only),,true
2025-05-26,Memorial Day,,true
2025-06-19,Juneteenth,,true
2025-07-04,Independence Day,,true
2025-09-01,Labor Day,,true
2025-10-13,Columbus/Indigenous Peoples' Day,,true
2025-11-11,Veterans Day,,true
2025-11-27,Thanksgiving Day,,true
2025-12-24,Christmas Eve,,true
2025-12-25,Christmas Day,,true
2026-01-01,New Year's Day,,true
2026-01-19,Martin Luther King Jr. Day,,true
2026-02-16,Presidents' Day (Washington's),,true
2026-04-20,Patriots' Day (MA only),,true
2026-05-25,Memorial Day,,true
2026-06-19,Juneteenth,,true
2026-07-04,Independence Day,,true
2026-09-07,Labor Day,,true
2026-10-12,Columbus/Indigenous Peoples' Day,,true
2026-11-11,Veterans Day,,true
2026-11-26,Thanksgiving Day,,true
2026-12-24,Christmas Eve,,true
2026-12-25,Christmas Day,,true
