pattern_id,predecessor_name,successor_name,lag_time_minutes,precedence_type
OB3,setup upper insert manifold,upper insert manifold,0,finish_to_start
OB3,setup lower insert manifold,lower insert manifold,0,finish_to_start
OB3,setup upper housing,upper housing,0,finish_to_start
OB3,setup fitting manifold,fitting manifold,0,finish_to_start
OB3,setup lower housing blank,lower housing blank,0,finish_to_start
OB3,setup lower mid op,lower mid op,0,finish_to_start
OB3,setup lower housing,lower housing,0,finish_to_start
OB3,setup fh adapter,fh adapter,0,finish_to_start
OB3,setup fh bracket,fh bracket,0,finish_to_start
OB3,assemble lower 1,setup bake lower in oven,0,finish_to_start
OB3,setup bake lower in oven,bake lower in oven,0,finish_to_start
OB3,setup bake lower in oven two,bake lower in oven two,0,finish_to_start
OB3,setup bake lower in oven three,bake lower in oven three,0,finish_to_start
OB3,assemble lower 2,setup bake lower in oven four,0,finish_to_start
OB3,setup bake lower in oven four,bake lower in oven four,0,finish_to_start
OB3,vkx inspection of pogo,upper sub mfg,0,finish_to_start
OB3,vkx inspection pogo pins,upper mfg,0,finish_to_start
OB3,upper mfg,setup bake upper,0,finish_to_start
OB3,setup bake upper,bake upper,0,finish_to_start
OB3,measure spot bundle 1,measure spot bundle 2,0,finish_to_start
OB3,measure spot bundle 2,measure spot bundle 3,0,finish_to_start
OB3,measure spot bundle 3,measure spot bundle 4,0,finish_to_start
OB3,measure spot bundle 4,measure spot bundle 5,0,finish_to_start
OB3,measure spot bundle 5,measure spot bundle 6,0,finish_to_start
OB3,measure spot bundle 6,measure spot bundle 7,0,finish_to_start
OB3,measure spot bundle 7,measure spot bundle 8,0,finish_to_start
OB3,cure and cooldown setup,cure and cooldown,0,finish_to_start
OB3,cure and cooldown two setup,cure and cooldown two,0,finish_to_start
OB3,cure cone setup,cure cone,0,finish_to_start
OB3,cure cone two setup,cure cone two,0,finish_to_start
OB3,lens cell mfg 2,setup bake,0,finish_to_start
OB3,setup bake,bake,0,finish_to_start
OB3,setup cure 1,cure 1,0,finish_to_start
OB3,cure 1,spacer inspect + epoxy + align,0,finish_to_start
OB3,setup cure 2,cure 2,0,finish_to_start
OB3,setup cure 3,cure 3,0,finish_to_start
OB3,setup cure 4,cure 4,0,finish_to_start
OB3,setup cure 5,cure 5,0,finish_to_start
OB3,splicing 1,splicing 2,0,finish_to_start
OB3,final pixel test (5 planes),setup epoxy cure,0,finish_to_start
OB3,setup epoxy cure,epoxy cure,0,finish_to_start
