mode_code,mode_uuid
S4B,ac84e090-eb38-437d-8ccd-1cdd54d73526
T4B,6b25027e-6e10-40c8-ad2d-e062d7dde1b9
S5B,13dc49f8-1e33-46dd-9e52-2df5a468c837
S60B,77185e3e-4ba4-411f-8ccc-a94e054dced2
S1A,d263fdbe-45b3-47ce-8869-036411098c61
S1B,d160dde2-1cb3-4839-b4ea-96ffdb2391e6
T1A,03516abe-5f6d-4865-b6e7-8920286847c6
T1B,43cd9205-8f44-4e36-babb-e25d16d04402
S2A,abf05aee-294d-49f1-a102-a99749650467
S2B,d9000a7e-affc-48c0-9db0-030aae744428
T2A,377f6778-2536-4c80-bba2-58ea1e9fe818
T2B,c4286b54-c4ad-4e82-b8e5-25cb2c409d53
S3A,2a3b1efb-cecc-41e9-a408-7cb56ec3e433
S3B,ce6d7ca5-53f7-4f8c-bb69-6bbc54f99184
T3A,55c35892-668a-46ec-b631-b9c68475e77e
T3B,697b5f26-5f04-4ad5-9ca7-352aee14e58b
S4A,1ccf1d7a-d555-477c-a16a-000a300743d6
T4A,baaf60f6-8be9-4b4a-b0fa-924dbbc4a5cd
S5A,6e92005d-4922-4b3d-a5cb-243890c3be95
T5A,c60b6532-137f-4b10-87b1-e0c921307baf
T5B,6f06383d-56cc-42c8-8a48-756e1982f879
S6A,3017919e-3667-42e2-b1d1-2f2672daa8c3
T6A,805bdb70-5d1d-4207-ae7a-15547ca0be0b
S7A,71cec530-48e3-4e2f-9ea3-5b69d423b1c2
T7A,1dcdee3e-fb7b-400b-8ae3-a0553acb6535
S8A,27658e95-c45b-49b1-8992-7b6d34d0deeb
T8A,a67b28ff-b2f5-41b6-a69e-d8afd946f092
S9A,48906d21-9287-44b2-9353-9c4482e3b963
T9A,249970e7-3341-4552-88de-bc057a587ab8
T10A,836269c4-19ee-4ce1-b75a-8bd593e139e5
S11A,d0b92791-842f-44b0-8e66-3c49fbb6a2ac
T11A,ca99febb-6637-4161-8f6b-83e960244554
S12A,9c21fb35-b591-44df-afe1-f9f52377b3c9
