task_id,sequence_id,department_id,name,is_unattended,is_setup,wip limit,max_batch_size,setup_for_task_id,created_at,updated_at
86711931-b894-4fba-ae7c-dcc06e0f6b89,NULL,MS,setup upper insert manifold,FALSE,TRUE,10,2,NULL,,
a6bfb3d5-5596-4121-a2d0-190ac9616c58,NULL,MS,upper insert manifold,TRUE,FALSE,10,4,86711931-b894-4fba-ae7c-dcc06e0f6b89,,
2782415c-b51f-4e7c-94b9-1501c4c9c37e,NULL,MS,setup lower insert manifold,FALSE,TRUE,10,2,NULL,,
698d6af1-face-450e-8f4e-5759db7cfa53,NULL,MS,lower insert manifold,TRUE,FALSE,10,2,2782415c-b51f-4e7c-94b9-1501c4c9c37e,,
8140f674-a6d8-4d1a-8474-23d588d6707a,NULL,MS,setup upper housing,FALSE,TRUE,10,2,NULL,,
c3164bfc-60f7-4853-8eb4-137b25a6a615,NULL,MS,upper housing,TRUE,FALSE,10,2,8140f674-a6d8-4d1a-8474-23d588d6707a,,
699271d8-db48-4276-878b-651defc4bafa,NULL,MS,setup fitting manifold,FALSE,TRUE,10,2,NULL,,
3f171212-dba9-49ae-b4af-ca56f24067ef,NULL,MS,fitting manifold,TRUE,FALSE,10,2,699271d8-db48-4276-878b-651defc4bafa,,
349fbea9-4f42-4122-bbac-89430ffd7f3e,NULL,MS,setup lower housing blank,FALSE,TRUE,10,1,NULL,,
a3e8ab4e-0d32-4067-b17a-1ca9fa8e6b28,NULL,MS,lower housing blank,TRUE,FALSE,10,1,349fbea9-4f42-4122-bbac-89430ffd7f3e,,
8f34a783-d626-4fae-8f40-38291176c67c,NULL,MS,setup lower mid op,FALSE,TRUE,10,1,NULL,,
c4d3b69c-1e59-455e-bb3e-99c909f11977,NULL,MS,lower mid op,TRUE,FALSE,10,1,8f34a783-d626-4fae-8f40-38291176c67c,,
062f38d8-ad1a-44e2-941e-97d58adc3e13,NULL,MS,setup lower housing,FALSE,TRUE,10,1,NULL,,
